ts,open,high,low,close,volume
1769092440,89460.1,89573.6,89438.1,89438.1,138.835
1769092500,89438.1,89489.0,89178.6,89212.0,591.992
1769092560,89212.0,89286.2,89101.9,89179.2,276.019
1769092620,89179.2,89385.9,89118.4,89380.0,210.284
1769092680,89380.0,89659.5,89353.4,89637.4,585.062
1769092740,89637.4,89700.0,89552.2,89563.8,257.631
1769092800,89563.8,89687.7,89563.8,89616.5,176.061
1769092860,89616.5,89685.4,89489.1,89489.1,105.511
1769092920,89489.1,89528.8,89429.0,89507.9,125.104
1769092980,89507.9,89539.3,89371.1,89371.2,224.495
1769093040,89371.2,89452.6,89312.2,89449.2,163.94
1769093100,89449.2,89470.0,89257.0,89300.5,147.55
1769093160,89300.5,89300.5,89145.4,89219.5,174.985
1769093220,89219.5,89237.6,89080.1,89229.8,307.559
1769093280,89229.8,89229.8,89055.1,89156.8,204.411
1769093340,89156.8,89180.9,89013.0,89064.4,166.476
1769093400,89064.4,89152.9,89000.0,89127.4,343.568
1769093460,89127.4,89352.1,89127.3,89300.1,187.205
1769093520,89300.1,89380.9,89278.0,89304.2,206.139
1769093580,89304.2,89355.0,89216.1,89344.7,64.602
1769093640,89344.7,89361.5,89290.0,89342.7,48.544
1769093700,89342.7,89354.5,89212.6,89212.7,66.448
1769093760,89212.7,89230.0,89121.8,89121.8,252.923
1769093820,89121.8,89214.0,89100.0,89100.1,68.833
1769093880,89100.1,89193.9,89088.4,89193.9,45.857
1769093940,89193.9,89193.9,89003.7,89027.6,428.137
1769094000,89027.6,89157.8,88932.7,89141.3,547.532
1769094060,89141.3,89250.0,89118.3,89178.5,196.382
1769094120,89178.5,89178.5,89032.4,89038.5,52.237
1769094180,89038.5,89200.0,89030.0,89200.0,272.576
1769094240,89200.0,89271.7,89165.7,89266.3,345.077
1769094300,89266.3,89266.4,89124.4,89188.1,70.608
1769094360,89188.1,89219.5,89092.1,89163.3,55.194
1769094420,89163.3,89163.3,89030.1,89143.2,64.793
1769094480,89143.2,89262.0,89141.2,89245.5,80.265
1769094540,89245.5,89248.6,89105.2,89222.9,105.825
1769094600,89222.9,89335.0,89213.8,89269.5,77.462
1769094660,89269.5,89312.9,89078.6,89116.3,45.171
1769094720,89116.3,89250.2,89071.1,89221.0,67.264
1769094780,89221.0,89311.0,89193.4,89279.6,28.324
